time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.1320046805059075e-06,10.00005687275475,0.008455533995720643,0.012358517769809119,0.0005535563834051516,0.0,-0.00013336457134020504,0.003441186207082966,0.2818176239606544,0.037328709347589945,0.007038182309673747,0.0,490.522337708797,491.04458236443736,490.2709439115203,493.03610047220985
0.12000000000000001,-3.056455324456253e-05,10.000578048855157,0.032089061324122016,0.015461579969562322,0.002270155541252983,0.0,-0.0010073664962374645,0.014293089082862564,0.5058887606336662,0.046377462774683395,0.018358445663240464,0.0,474.3882809267438,475.25646625131094,474.3734306328119,475.0683881617618
0.18,-0.00013756671128385285,10.001738093330856,0.06280758910387299,0.02221155902601346,0.003821084641100647,0.0,-0.0027051071531053066,0.024996301576528494,0.5180450403813356,0.02332502024199846,0.009717250144982245,0.0,408.1639386272212,407.3920700208856,410.02027559744283,407.96836554093284
0.23999999999999996,-0.0003999555846475655,10.003809160786473,0.10153355072134039,0.02404419200454555,0.004473185699326088,0.0,-0.0061275109997816855,0.0442756144452715,0.7726768827692866,0.014816329133481817,0.005398315217489451,0.0,485.4437931627683,485.1195264879704,482.760800084558,482.1183968396867
0.3,-0.0008749728442121209,10.006914266144731,0.1487629347438928,0.024923990993436007,0.011142352328339378,0.0,-0.010342933212702967,0.05930818791419852,0.8016092567194607,0.014198008572223496,-0.02342179383060642,0.0,416.0342064595832,413.50346630865397,414.11602732282665,414.06155184664175
0.36000000000000004,-0.0017710995275371359,10.01111825380322,0.20212231325673127,0.041672447516641675,0.015424224495539818,0.0,-0.02004213248369592,0.08276638343987769,0.9768356276567045,-0.030694406477170182,-0.05077346867076392,0.0,462.99375168180524,460.83666366666137,461.7667705843009,458.2121966212847
0.4200000000000001,-0.0033073281898055936,10.016985098379669,0.2648597813995989,0.0398190519970445,0.01449446751069594,0.0,-0.031082134629374546,0.11259120129629997,1.1142972041096841,-0.0317139533269972,-0.06795625298631422,0.0,450.5010303624255,449.1075141969329,449.8813316256449,449.79846327751176
0.48000000000000015,-0.005479103200720115,10.024621688277985,0.3363353326401145,0.038443494326720895,0.010475704660350083,0.0,-0.040870565728962104,0.14179617247203974,1.2680736917952327,-0.02486959514721578,-0.07206776899378786,0.0,454.69748718724225,454.364488418985,455.37767363427884,455.9245375160292
0.5400000000000001,-0.008148827513564877,10.033924148529248,0.41523949372799734,0.040074049897344644,0.010802598972098565,0.0,-0.048177707529360035,0.1684664903359106,1.361947997097752,-0.04546480253319164,-0.09692321137191669,0.0,438.9746253562366,436.9020559657441,436.4253733342656,434.70272351856954
0.6000000000000002,-0.011235630085594283,10.044823207023963,0.49929170617078295,0.03734202565276945,0.005491558882439129,0.0,-0.05418377423382899,0.194562996476877,1.4397118511069376,-0.04763680295206483,-0.09025210950137888,0.0,431.39731839806143,431.95229320064885,432.0842812424454,431.899822108783
0.6600000000000003,-0.014617106885032033,10.0573088864057,0.5900844241362347,0.03448712331069892,0.007217934055899988,0.0,-0.05875309409908164,0.22130644771811137,1.586528349054166,-0.04748158432887233,-0.12075157943789655,0.0,455.04993201015725,452.59351229524935,453.5943362406557,453.6054798502975
0.7200000000000003,-0.018264241957687215,10.071285079063529,0.68819256869814,0.0316541524944407,0.00011201458761345151,0.0,-0.06210104499575832,0.24427196755771294,1.6836179072076396,-0.04685112648112811,-0.12621183367967143,0.0,439.1695421003728,438.70262575686564,438.2448002409067,438.29581700870125
0.7800000000000004,-0.021967283756126024,10.0866558319379,0.794449150483959,0.029368700100890877,6.277001894085084,0.0,-0.06063814982049947,0.26782850744377845,1.8580070049801236,-0.05608349760546554,-0.13985117097995428,0.0,463.46062229243637,462.3724776943315,462.9438254222172,462.21539477124253
0.8400000000000004,-0.025421129378443073,10.103411004248212,0.9121518868370042,0.02623511275023027,6.268608340755788,0.0,-0.05350644432269114,0.29029070097416887,2.065069143679019,-0.05187904857247915,-0.14212179254254553,0.0,473.1855227840564,472.9936292927923,472.79197190717207,473.11397209576216
0.9000000000000005,-0.028327828653785112,10.12132256979297,1.0374535109588336,0.02546636465176899,6.261022766879062,0.0,-0.042682588657592294,0.3066703579136939,2.1115574634108754,-0.03626503067681156,-0.15402090492941103,0.0,425.1013109831047,424.059389467249,422.6155785843575,423.9577769245058
0.9600000000000005,-0.030328437614208708,10.140316932069377,1.1700347351076312,0.02499756387076868,6.252056833000012,0.0,-0.022979984365742598,0.3263935081610758,2.3074178493050663,-0.023102295301958578,-0.16109398641706066,0.0,471.65694106491446,471.0887534910146,469.4427163813119,470.4626051959574
1.0200000000000005,-0.03102478000660954,10.160423932079867,1.3115938894321435,0.027126541092402867,6.242855670259289,0.0,0.000711401448943277,0.344030832871791,2.410968479729833,-0.003729204541978836,-0.15473332294090192,0.0,442.62634801205263,443.12541187469475,443.0767957307916,444.666668041783
1.0800000000000005,-0.03016899940078794,10.181588550292485,1.4579216947194862,0.027414603087088985,6.23356700304009,0.0,0.028695888532652453,0.3614866141852545,2.466465493018266,-0.012857462238895407,-0.15499502708470453,0.0,427.4604402463436,427.4144385007063,430.06539545576885,429.29164791909744
1.1400000000000006,-0.027600146954696557,10.20373228988342,1.6049837779146832,0.027054121203376802,6.228688515560549,0.0,0.05735734785337516,0.3766142757870096,2.43564637474496,-0.02118182951035908,-0.13313115630024241,0.0,398.66956823203157,400.6391663515399,400.3970531125308,399.63908087177924
